lause;form
Teises istus maani purjus Venemaalt pärit hobusevaras ja kolmandas tohtuvõitu kolhoosi lauda öövalvur .;Teises
Nüüd ma siis istusin oma üüritud kaupmeheelamus kamina ees , vaatasin tuleleeki ja kuulasin vihma plõksumist vastu katuseplekki .;kaupmeheelamus
Siis on neil pärjad peas ja nad ise usuvad , et nende keskel tulepaistel liiguvad kummalised haldjad , kes lähevad hiljem laande tagasi .;tulepaistel
Mõned minutid enne keskpäeva astus luurerühm Suur-Pakri saarelt neljateistkümnekraa disesse vette .;disesse
Dmitri Domani ( 19,6 punkti mängus ) jooksis koos eestlasega platsile hooaja alguses Moskva Dinamos , Eddie Shannon ( 19,4 ) aga detsembrist saati Permi Ural-Greatis .;Dinamos
Männiku varjupaigas käib kolm korda nädalas kodututele omaalgatuslikult toitu jagamas Oleviste kiriku koguduse liige Milvi Aaslaid , raha selleks kogutakse annetajatelt .;kodututele
Pavel istub katuseserva paigaldatud ridval .;ridval
Siis kuulis Mare Oherjus , et diakooniamajas käib koos mingi eakate naiste võimlemisrühm .;diakooniamajas
Vihmavarjudega lumesajus ringi liikunud türilased olid rõõmsad , et talv juba kätte jõuab , sest ega siis kevadki enam mägede taga ole .;lumesajus
Õhtul käisime matkamajas tutvumisõhtul ja kuulsaalis bowlingut ja piljardit mängimas .;tutvumisõhtul
Metzis käinud abituriendile Triin Fedotovale , kes oli üks kahest valgalaste gruppi kuulunud ja üks kahekümnest väljastpoolt Prantsusmaad tulnud õpilasest , jättis külastuse käigus kuuldu , nähtu ja tehtu vahva mulje .;Metzis
Eeldasin , et vajalikud dokumendid on korrektselt vormistatud , ” meenutab tänaseks HETAst lahkunud Paulus .;HETAst
Istun hetkel Aeronil ja see tunne on taevalik .;Aeronil
Laul järgib traditsioonilist eurolaulu standardit , Sandra on ilus , tal on häält , liigub rütmikalt , laulu lõpus liitub temaga ka saategrupp .;rütmikalt
Möödunud aastal tegime sõpradega kaasa ka paraadi Lätti , aasta varem käisime Dixielandis .;Dixielandis
Talleggi lindlas käib parasjagu noorlindude kaalumine .;lindlas
Punktiarvestus käis kümnepallisüsteemis .;kümnepallisüsteemis
Ta istus Balti jaamas busside lõpp-peatuses aktsiaseltsile Harjumaa Liinid kuuluvasse Ikarus-bussi .;Ikarus-bussi
“ Nad on kunagises telefonivabrikus paar korda erastamisvõimalusi vaatamas käinud , kuid ei ole sellest praegu huvitatud , ” ütles Veiko Sepp .;telefonivabrikus
Kui usulise ekstaasi asemele astub institutsionaalne salvimine , kui karismaatiliste kohtumõistjate spontaanne manifestatsioon asendatakse aja jooksul inimlikul jõul püsiva kuningavõimuga , kui kuningate konfrontatsioon prohvetitega on pigem reegel kui erand , kui kaasajalgi kiriku valitsevad ringkonnad suhtuvad suurima ettevaatlikkusega vaimuvirkusesse , nõudes kehtestatud normidele jäägitut allumist , siis küsime , kas korrapärastamine , piiritlemine , ohjamine , oma näo järgi kujundamine pole mitte üks inimest enim iseloomustav parameeter .;ekstaasi
Riided seljas , istusin nina luristades ja nohu kirudes pimedas esikus jalanõudekapile , valmis vastava impulsi saabumisel otsemaid välja minema .;jalanõudekapile
Hommikukastes istusin ta kõrval , kuni kerkis päike .;Hommikukastes
Et kui too astus porimülkast rambivalgusse ja muutus ühtäkki arusaadavaks , siis tema peab varjutama valguse sõnade sirmiga , kui Tarvik ilmub põrgust maa peale , siis Toomas Tromb Tromb Tromb , suutmata temaga sama õhku hingata , tõuseb maa pealt taevasse .;porimülkast
Ajalehes “ Vooremaa ” olevat olnud teade muutuste kohta , kuid maainimestel käib vähe lehti ja kui paljud neist teadet märkasid , oli tunda meie koduse telefoni helisemissagedusest .;maainimestel
Heimtali puhkebaasides käinud mõne tegelase suhtumisest on Albile jäänud küüniline mulje , nagu peaks kõik hea olema ilmtingimata erastatud .;puhkebaasides
Nagu istunuks ta seal juba teabmis ajast , tõmbas ta asfaldile kivikilluga lühikesi kriipse , bussist ja möödaruttavatest inimestest välja tegemata .;teabmis
"Jah , ja kui ta siis üsna ekspeditsiooni algul oma äsjaavastatud purskkaevupargis istus , raamat lahti põlvedel , küsis keegi ometi "" Tädi , mis sa mõtled ?";purskkaevupargis
Poroloontugitoolis , jopp eest lahti , jalg üle põlve istus Toomas Kitse ja silmitses filosoofilise huviga näppude vahel olevat konjakipitsi .;Poroloontugitoolis
"Ooperis käisin samuti , eriti meeldis mulle ballett , aga ka ooperit käisin kuulamas , korra poisikesena isegi Therese Stratast "" Boheemis "" .";Boheemis
Korraks jooksin Meinhardi kägaras kogu poole , et kui ta on haavatud , saan ehk aidata , aga siis taipasin , et ega ma teda siit enam ära kanda ei jõua .;Meinhardi
Eesti Aasia spetsialist ja Esindamata Rahvaste Organisatsiooni peasekretäri asetäitja Linnart Mäll käis juuni algul Mongoolias ning seejärel Saksamaal Tiibeti toetuskonverentsil .;toetuskonverentsil
Nende kaameramehed , kirjutavad ja kõnelevad ajakirjanikud jooksid väljavisatutele tormi .;väljavisatutele
Üllatavalt kiiresti ralli põhitõed omandanud Piirsalu astus hooaja lõpus juba tippmeestelegi kandadele .;tippmeestelegi
Samal suunal liigub ka Saidi shokolaadinali neegrist sõbra pihta .;neegrist
Kolmanda korruse ringrõdul istuvad mugavates lamamistoolides kõrvuti kaks kuju : üks keskmist tugevat kasvu , teine suur , atleetliku kehaehitusega – puhkajad paraku .;ringrõdul
astub ekspeditsiooni generaaljuhi telkmajja Joseph .;telkmajja
Ja mida tahtis see 16 aastane poiss , kes astus siis Venemaa Sotsiaaldemokraatlikku Töölisparteisse ?;Töölisparteisse
Tänase päeva vastustamatu hoog nakkab Almassegi , kes tegusal maanaisesammul astub nüüd mööda Vene turu platsi .;maanaisesammul
Tihti käis ta ka Coruñas ning naasis alati nukramana , kui oli sinna läinud .;Coruñas
Käisin oktoobris Eesti ametliku esindajana Horvaatias Euroopa poksitšempionaadil .;poksitšempionaadil
Oma sõnul käib Rootsmäe jalaväepataljonis paar korda nädalas , akadeemilise malevkonnaga tegeleb iga päev .;jalaväepataljonis
Ka naised käivad üsna sageli paintballist elamusi hankimas .;paintballist
Nüüd elab ta pargi puudel ja käib teisel oraval külas söömas .;oraval
Mustanahaline mõrvar oli laskeharjutustele mineku eel käinud ühest kasarmuhoonest teise ja tulistanud automaatrelvast R4 valimatult oma kaaslaste pihta .;kasarmuhoonest
Kaldale jõudnud paadist hüppavad välja kaks meest ning jooksevad lintidega ääristatud maabumiskoridoris esimese liivaluiteni .;maabumiskoridoris
Tahan kujundada sellest teosest terviku , mis ei oleks ainult Mozartist lähtuv , vaid et selle tähendus liiguks Mozarti helikeelest korraks ka vanematesse muusikakihistustesse .;muusikakihistustesse
Nad istusid saepukil , just nii nagu vanasti , ja Mehis rääkis äsjasest elamusest koolimajas .;saepukil
Jutuajamine käis neil toojuures enamaste ühe malli järgi .;toojuures
"Kui ta nüüd siin pimedas sügisrõskes Pargi tänava keldritoas istus ja mõtiskles , tundus talle , et seekord ei olnud nad luulet lugenud , nagu mõnigi kord varem , seekord olid nad siiski vaielnud , ehk tülitsenudki , ja kaelakee kui Heiti kingitus oli Emajõkke lennanud allajäämisvihas ; äkilised olid nad mõlemad .";sügisrõskes
Luuletajad on vaikselt lahkunud Eedenist - Kross , Beekman , Traat , Vetemaa , Baturin , Luik , Mihkelson tõstavad eesti proosat maailmatasemele ning Kaalepil on Akadeemia , Runnelil Ilmamaa , Paul-Eerikul poliitika .;Eedenist
Tavaliselt küttis ta vadides ja nende põikorgudes , mille veesoontel käisid janu kustutamas kõik kõrbes elavad loomad .;veesoontel
“ Ole hea poiss ja pihi oma jumalale , kuis sul õlipõrgus istub ! ” möirgas sööklasse sisenenud Emerson Nikyase vastas lauda rantsatades .;õlipõrgus
Ta tuli otse kuuma duši alt – aurendav hiiglane , paisunud lihased nahka rebendamas – ning astus mööda tube läbivat punast vaiprada pressiruumi .;pressiruumi
Enne sõjaväge , 18-aastaselt , käis Lukk Vanemuises temale saatuslikuks saanud orelikontserdil .;orelikontserdil
Praegu käib näitemänguseltsis selle juhendaja Meelis Hansingu sõnul ligi 50 noort .;näitemänguseltsis
Aga näe , tollessamas Loomingu septembrinumbris ootas ilmumist tulevase isamaalase ja mementolase Ülo Ojatalu lojaalne , õige natuke töökorralduskriitiline olukirjeldus sellest , kuidas ta šefluskorras käis ehitamas Lenini-nimelist kultuuri- ja spordipaleed ( linnahalli ) .;šefluskorras
Euroopa ühel suuremal jazzifestivalil Soomes Poris , mille avalöök on täna , astuvad paljude maailmastaaride kõrval üles ka Eesti muusikud - Toivo Undi trio ja Tiit Pauluse kvartett .;jazzifestivalil
Eestlased karjusid hurraa , tankiluukidel istuvad venelased lehvitasid eestlastele .;tankiluukidel
Hannes Rumm , Eesti Päevalehe arvamustoimetuse juhataja , lahkus “ Kahvlist ” mullu sügisel .;Kahvlist
Neil , Alla perel olevat suur korter ja seal üks kasutamata teenijatuba , kus ta reduperioodidel öömajal käinud .;reduperioodidel
Kõikidel rahvaüritustel agaralt käinud Hannid lähevad suurpeole vipitama kaheteistkümnekesi .;rahvaüritustel
Osa infomessi Teeviit külalisi jooksis messikeskuses ummisjalu ja küünarnukkidega rahva seast läbi murdes huvikeskuse Kullo boksi juurde , et näha nukkilusaid tüdrukuid .;murdes
Üks katsealune noor leidis , et on teinud elu parima tehingu : ta pääses rahata Shveitsi , elas seal priil toidul ja käis alpimägedes ekskursioonil .;alpimägedes
Sõltuvalt kliimast ja tootmise intensiivsusest on taimekasvatuses kasutatavate mürkide ( herbitsiidid , pestitsiidid jms ) kogused väga erinevad ja nende jääksisaldus puu- ja juurviljades võib olla ohtlikult suur ( jutt käib mikrogrammidest kg kohta ) .;mikrogrammidest
Laenutustes käivad uisud tihtipeale otse ühe laenutaja jalast teise jalga .;Laenutustes
Nii ei ole mingi ime , et käivad jutud mõisa peahoone kummitusest .;kummitusest
Ajal , mil USAs käib elav diskussioon üle kahe miljardi dollari ( kaks Eesti riigieelarvet ! ) kulutamise mõttekusest superpommitajate B-2 valmistamiseks , suutis Jugoslaavia lasta tükkideks samasugust stealth-tehnoloogiat kasutades loodud hävitaja-pommitaja F-117A Nighthawk ( “ Öökull ” ) .;mõttekusest
Tema surma kohta on liikunud legende alates enesetapust kuni sakslaste poolt allatulistamiseni Vahemere kohal .;enesetapust
Vahel tundub mulle , et - ( teatava visionäärsusega ) tuhmis tolmupilves liigub kari tonte , vaime , kooljaid .;tolmupilves
Noor naine astub moesalongi :;moesalongi
Need liiguvad ka õunapuudel , otsad on juba hõbedased .;õunapuudel
Ülejäänud astusid Eesti kodakondsusse kolmekümnendatel .;kolmekümnendatel
Igal pühapäeva hommikul lahkub Eckard Klug oma kodust Lõuna-Rootsis , et tuua Eestisse koorem humanitaarabiga .;Lõuna-Rootsis
Veebruaris käisid ülemused Itaalias moemessil .;moemessil
Käisin aga jälle Sussexis oma tädi Marthat vaatamas .;Sussexis
Mitsubishi lahkub Euroopa ja Jaapani arvutiturult .;arvutiturult
“ Kõigepealt käisin õmbluskursustel , tahtsime koos naabrinaisega õmblema hakata , kuid sellest ei tulnud midagi välja , ” märkis ta .;õmbluskursustel
Vallandatud käisid sel nädalal ka töökaitseametis , neile lubati vastata ühe kuu jooksul .;töökaitseametis
Et kõikidele pakenditele aktsiisi kehtestamine ühekorraga käib meie nigelale ametnikkonnale ja nende võimetele üle jõu , otsustati aktsiisi rakendada järkjärgult . ”;ametnikkonnale
Käige mõnel riigipühal mööda mõnd asulat ja vaadake , kui paljudel majadel ikka on riigilipud väljas .;riigipühal
Seila Saks , kelle laps käis varem pealinna esimeses eralasteaias Punamütsikese Mudilasmajas , vahetas lasteaeda eelkõige seoses elukohamuutusega .;Mudilasmajas
Jutt käib Moskva võimetusest finantseerida oma osa uues rahvusvahelises orbitaaljaamas ALFA .;võimetusest
“ Et kahe panga ühinemine on teada , siis liiguvad nende aktsiate hinnad tugevas korrelatsioonis , ” tõdes üks tundmatuks jääda sooviv maakler BNSile .;korrelatsioonis
Ka reede õhtul kella 1/2 5 paiku , kui töölised tellingute koristamistöödelt lahkusid , ei olnud silla vajumist märgata .;koristamistöödelt
“ Vererõhku käib siin päevas mõõtmas kaks-kolm inimest , ” rääkis päevakeskuse juhataja Virve Paluvits .;Vererõhku
Ploomikeses käib ka haigeid ja nõrgema närvikavaga lapsi , rühmad on väiksemad .;Ploomikeses
Istusime abikaasaga 13. juunil Managuas lennukisse , et sõita üheksandale troopikapuhkusele .;Managuas
Mihkelson :  Ma ei saa öelda , et mina kirjandusemajas üldse ei käiks , olen käinud kirjanduspäevadel , konverentsidel .;kirjanduspäevadel
Seega käib jutt ilmselt vaid ühest lisavõimalusest , mida “ patriootlik ” Vene press tahab kasutada Baltimaade tülli ajamiseks .;lisavõimalusest
Kui reastan õnnehetki , meenub kõigepealt , kuidas varajases nooruses istun Valgerannas kivi otsas , üksi looduses , olen noor ja tugev ja tunnen , et elu on ees .;Valgerannas
Stockholmis on mõlemad medalivõitjad lubanud kaasa teha mitmel alal - Engquist jookseb lisaks oma põhidistantsile ka 200 m ning lühikest teatejooksu , Hämäläinen tõmbab naelikud jalga 400 m jooksus ning 110 m tõkkejooksus .;Engquist
Juba kuu aega käivad möödunud kümnendite menupaigas Püssirohukeldris ettevalmistused põhjalikuks ümberehituseks .;menupaigas
Carl Maximowicz käis Amuurimaal , Mandzhuurias ja Jaapanis .;Amuurimaal
Toomas Piho , kes Listakult Võrru tööle käib , rääkis , et õhtul koju minnes ja tormist tekitatud kahjustusi nähes kartnud ta , et ka tema kodu on purustatud , kuid suur oli tema rõõm nähes , et tema majapidamiseni polnud torm jõudnudki .;Listakult
Muusikapressis liiguvad järjest visama järjekindlusega jutud , et muusikatööstusel ei lähe viimasel ajal eriti hästi .;Muusikapressis
Ungari tuusadest astuvad MK-sarja kuuluval Tallinna Mõõgal rajale vanameister Ernö Kolczonay ( maailma edetabelis 20. kohal ) , Krisztian Kulcsar ( 22. ) , Attila Fekete ( 24. ) ja Imre Gela .;Mõõgal
Peterburi elama asunud nooruk astus siseministeeriumi kõrgemasse poliitkooli , mille lõpetas 1973. aastal “ ohvitser-poliittöötajana ” .;poliitkooli
Parlamendis käivad jutud endise peaministri Guntars Krastsi taasvalimisest , kuigi pole saladus , et sellele ametipostile on tõenäolisim kandidaat TP liider Andris shkele .;taasvalimisest
Lähen , joon kaks õlut , käin Chicago bluusifestivalil , vaatan Niagara koske ja istun maha .;bluusifestivalil
Kaitseminister Öövel käis laupäeval kõnet pidamas Soome Riigikaitsegildide Liidu julgeolekupoliitilisel seminaril Helsingis Santa Hamina Riigikaitseakadeemias .;Riigikaitseakadeemias
“ Jutt käib halvas seisus oleva vara mahakandmisest , ” lisas ta .;mahakandmisest
Mäesuusatamise MK-sarja lõpuetapil Sierra Nevadas astus Lasse Kjus eile sammukese lähemale sarja üldvõidu poole , edestades supersuurslaalomis oma mõlemat peakonkurenti .;lõpuetapil
Üleeile kell 17.31 teatati politseile , et Turu tänava kivimajas on käinud varas .;kivimajas
Tuleb tunnistada , et Ukraina on oma elektrisüsteemi restruktureerimisel sammukese kaugemale astunud kui Eesti .;restruktureerimisel
Paabo sõnul maksaks süsteemi pidev tööshoidmine politseile paarkümmend tuhat krooni kuus , sest andmete edastamine käib GSM-mobiilivõrgus ning on sama kallis kui tavaline kõneminut .;GSM-mobiilivõrgus
Moodsa tantsumuusika üleilmne guru , briti DJ Gilles Peterson , kes kahel korral käis ka Jazzkaare tantsureividel plaate keerutamas , mängis ühes oma raadiosaates nende lugu ja tutvustas seda kui  “ surprise from Estonia ”  .;tantsureividel
Siis jutustab Pihkva järve ühel saarel sündinud Aleksandra , kuidas 1957. aasta kirkal talvepäeval astus ta isatallu venna sõber Beresjest , kellesse ta esimesest pilgust armus , kellega ta Beresjes abiellus ja kellega elab siin tänini .;kirkal
Hiljem , kui selguks , et Venemaa liigub rahasüstile vaatamata allamäge , kriitikat vaid lisanduks .;rahasüstile
Mõelda , mida kõike maailmas süüakse - kunagi käisin Burjaatias , seal pakuti mingit pooltoorest hobuseliha , vaat see mulle küll ei maitsenud . ”;Burjaatias
Istu korraks paksus roostes raudpingikesele , armas turist , mässi end oma musta mantli hõlmadesse ja mõtle sellele , kui tühine on maine hiilgus ja mööduvad mõnud .;raudpingikesele
“ Kuid kõik uus nõuab kohanemisaega , esialgu tuleb aru saada , mismoodi elu tipptasandil käib .;tipptasandil
Kui Eesti avangardismi isaks tituleeritav Leonhard Lapin suprealismi näituse ja manifestiga 1996. aastal Tallinnas Vaal-galeriis avalikkuse ette astus , tekitas see parajat kahinat nii meil kui ka mujal .;Vaal-galeriis
Klassilõpupildi ikonograafias teostatud hiigelfotol istus rühm ööriietes tüdrukuid , käed vaguralt rüpes ja silmad kinni surutud .;ööriietes
“ Aga praegu käib ka volikogu kehtestatud kaheksakroonine üüri piirmäär ruutmeetrilt veel mõnele üle jõu , üürivõlglasi on palju , ” möönis Fink .;ruutmeetrilt
Sel aastal käis üheksakümnest esimesse klassi minejast kolmandik keskuses kooliks ette valmistumas ja Pajur usub , et need lapsed ja nende vanemad tulevad hiljemgi nõu saama : kas loovusmänge mängima , perekoolitusse või oma karjääri kujundama .;minejast
Festivaliprogrammis oli teiseks päevaks rõhuasetus sujuvalt liikunud rahvalikkuselt elitaarsuse poole .;rahvalikkuselt
Kummatigi pole rühmituse kunst kunagi mandunud Tõnis Vindi loengute illustratsiooniks , vaid on intuitiivselt ja omapäi liikunud õpetuse naaberradadel ja õpilase enda hingemaastikul .;naaberradadel
Vaatamata sellele , et Juri Lotmanit meie seas enam ei ole , oli tal palju õpilasi , kes jätkavad töötamist nii filosoofiateaduskonnas kui ka sotsiaalteaduskonna semiootika osakonnas , ja kui nüüd Rein Undusk märgib , et oma tudengiajal käis ta ärksamaid mõtteid otsimas vene filoloogia osakonnas , siis - ka praegu ei takista tudengit miski seda tegemast .;tudengiajal
""" Nähes suurt mudamaadlust ja poriseid inimesi , sain kohe aru , et igav siin küll ei hakka , "" ütles Vahur , kelle sõnul on ta käinud ka kolmel varasemal Kaiu Rocklaagril .";Rocklaagril
Suure suuga mees tõotas paar aastat hiljem , et 33selt lahkub ta rockmuusikast , sest täisikka jõudnu peab tegelema millegi tõsisemaga .;rockmuusikast
Rike Eckerö Linei reisilaeval avastati enne laeva väljumist teisipäeva õhtul kell kuus , kui autode laadimisel ei liikunud õigesse lukustamisasendisse välis- ja sisevärava vahel asuv pealesõidusild .;lukustamisasendisse
Kassid käivad kalapaatidel sadamas vastas ja neile visatakse kah .;kalapaatidel
Ehkki haldusõigusseadustik kohustab trahvi määramisel arvestama inimese varanduslikku seisu , peab Mikkovi sõnul silmas pidama , et jutt käib liikluseeskirja rikkujate puhul siiski peamiselt autoomanikest .;autoomanikest
Sest maksujõuetud lahkuvad tsiviliseeritud elamispindadelt ja kolivad näiteks Kopli liinidele .;elamispindadelt
Paraku on nende rahvuslike küsimuste lahendamine käinud Mordvamaal üle kivide ja kändude .;Mordvamaal
Täiendava UV-kiirguse mõjul liigub see välimistesse nahakihtidesse , päevitus muutub intensiivsemaks ja naha väliskiht pakseneb .;nahakihtidesse
Pisut linna poole jäävas Kunderi tänava videolaenutuses leti taga istunud 27-aastane Svetlana ei osanud esialgu midagi hullu karta , kui politsei hakkas viodeokassette riiulitelt maha võtma .;videolaenutuses
Søndråliga ühes paaris uisutanud mitmevõistluse maailmameister hollandlane Ids Postma oli veel enne viimast ringi nii sõitu kui ka kulda võitmas , kuid astus eelviimases kurvis oranzhile rajatähisele ja pidi tasakaalu tagasisaamiseks end peaaegu püsti ajama .;rajatähisele
The Dream  istus koos tütrega Nigeeria koondise varumeeste pingil vaid alagrupimängus Austraaliaga ja juba järgmisel päeval lendas Kreekast puhkusele Türki .;alagrupimängus
Käesolevat aastat on aga seal prognoositud uue murrangu aastaks ja võib eeldada , et Eesti liigub samal arengukõveral .;arengukõveral
Juunis lahkus Charltonisse vasakkaitsja Chris Powell ( üleminekusumma 825 000 naela ) , juulis kolis Barnsleysse hollandlasest poolkaitsja Robin van der Laan ( 325 000 ) .;Charltonisse
Neil , kes on käinud sideasutuses pensioni järel , tuleb ka toetussumma küsida samast kohast .;sideasutuses
Selleks ajaks oli E. Tamm Linnavalitsusest juba lahkunud .;Linnavalitsusest
Karjääri huvides jäid Liz ja Hugh aga näiliselt ikkagi kokku ning liikusid koos lugematutel filmilinastustel , auhinnatseremooniatel ja ööklubides .;filmilinastustel
Igal meediakanalil on seejuures oma spetsiifika : trükiajakirjandus saab hakkama erainitsiatiivil , raadioeetris on erakapitalil palju mänguruumi , teleasjanduses käib mitmekesine omakeelne info- ja sotsiaalkultuuriline programm erategijatele üle jõu .;teleasjanduses
ERA sõjakolledzhisse astus sel aastal 75 noormeest .;sõjakolledzhisse
Isegi mingid valimised organiseeriti , mäletan , kuidas käisin linnukasvatuses agitatsioonikoosolekul .;agitatsioonikoosolekul
Rahvaerakond Mõõdukad aga on esindatud koguni kahe haruga – sotsidest ja EMKE-st on järel ühendus Noored Mõõdukad ning talurahvaerakonnast läbi käinud parempoolsetel on oma noorteühendus Vox .;talurahvaerakonnast
Pärnu haigla polikliiniku radioloogiaosakonnas oli tänavu märtsi alguseks uuringutel käinud 140 naist , kellest 35 vajas haiguskahtluse tõttu lisaläbivaatusi .;radioloogiaosakonnas
Efektses tantsuloos Better The Devil You Know istus nappides rõivastes täht endast kaks korda suurema alasti mulati süles .;tantsuloos
Üllatuseks astub ta lavale päikeseprillides .;päikeseprillides
Kui viimati käisin oma lemmiksigaretipoes , siis tegi peremees mulle itaalia-prantsuse segakeeles suurepäraselt selgeks , et vaja on osta vähemalt plokk .;lemmiksigaretipoes
Ta teab , et mitte ükski lääneriik ei tõtta baltlastele julgeolekugarantiisid pakkuma .;baltlastele
Kuidas käib Eesti käsi eurovõistlusel , oleneb Paadami sõnul peaasjalikult sellest , kui õnnestunud laulu kirjutab helilooja X. Ebaõnnestumisi korraldamistegevuses ta ei karda : “ Inimesed , kes seda teevad , on olnud sellega mitu aastat seotud .;eurovõistlusel
Käisime kaks korda indiaanlaste peyote-tseremoonial .;peyote-tseremoonial
Nüüd on “ tundmatuks jääda soovivad Kremli allikad ” seletanud , et Nikolajev ei lahkunud mitte ettekäändeks toodud eriarvamuse tõttu Gruusia demarkeerimata piiri detailides , vaid paljastatud katse tõttu rajada kõikvõimsat isiklikku luuresüsteemi .;detailides
Kui tihti te Saarekülas käite ?;Saarekülas
Lõpukolmandikul kõndis Rootsi noateral , 2 : 1 püsis .;Lõpukolmandikul
Jutt käib [ kaitseväe ] IQst , intellektuaalse taseme tõstmisest .;IQst
” Sa ei kirjuta ka , täpsustades : “ Ta istus voodikattele .;voodikattele
Kes viimastel aastatel sotsiaalministril toolil istunud poliitikutest ( Reformi- , Kesk- või Koonderakonna esindaja ) selleks kõige suuremaid pingutusi tegi , pole praegu oluline .;sotsiaalministril
Alates 1984. aastast olen käinud ka Eesti-Leningradi ja Balti matshidel-maavõistlustel .;matshidel-maavõistlustel
Nolckeni võistkonnast on “ Kuldvillakus ” käinud Uno Ainsoo ja Mart Kübarsepp .;Kuldvillakus
Kogu eelneva tõttu ei ole mõtet kurta , kas Eesti liigub eurokõnelustel liiga kiiresti või mitte .;eurokõnelustel
Igatahes astus Milan San Sirol kodupubliku ette hiilgavas seisus , Itaalia liigas edestati järgnejat kümne punktiga .;Sirol
» Nüüd , kui nuku-teatrilased solfedžotundides käivad , suudab Taavi vaikselt nooti uurides viisijupi maha mängida küll .;solfedžotundides
Regionaalliigas käib matil 18-aastane juunior  Kristjan Press  ja eestlasteltki käivad mõõtu võtmas 19 riigi matimehed .;Regionaalliigas
Mõnede kaaskodanike häälekast voorimisest hoolimata istus ja seisis enamik rahvast rahulikult ning sobitas oma meeleolu ja mõtteid järve kaldavette püstitatud uhkest valgusmajast kostvate kuninglike helidega .;voorimisest
Kõigepealt käis selle sõna välja Tallinna linnapea Robert Lepikson ühes raadiosaates , kus oli juttu korteritehingutest .;raadiosaates
Zipp aga rääkis jäämühklikust tänavaservast : “ Läksin hommikul üle Raekoja platsi ja järsku istusin veelombis , kuni möödakäijad mu aknaservale istuma aitasid .;veelombis
Meie aga mitte ning tunni aja pärast astumegi suplusest värskete ja rannal peetud söögikorrast heatujulistena eraomanikust kapteni Zarja-tüüpi laeva .;söögikorrast
Taas istus itaallane sadulasse alles tänavusel Girol .;Girol
Tallinna linnakohtu maffiasaalis eile istunud korteripetiste jõugu ohvrite seast kostis pahameelenurin , kui kolmeliikmeline kohus lükkas asja arutamise septembrisse , sest üks kohtualune kurtis kehva tervist , kaks olid aga teadmata kadunud .;maffiasaalis
Ehkki see käib eetris väga ebamugaval vaatamisajal laupäeva varaõhtuti , on põhimõtteline läbimurre toimunud .;vaatamisajal
“ Kuulda on olnud , et eelmisel aastal oli Loode-Venemaal katk sees , Eesti inimesed käivad ka seal püüdmas ning üks võimalus on , et samad püüdjad tegutsevad siingi , ” rääkis Jaan Pikka , kelle kinnitusel käis mullu Väänal massiliselt püüdjaid , ehkki lube oli välja antud vaid sadakond .;Väänal
1995 . aastal Inglismaa klubist Tottenhamist lahkunud ning Saksamaale naasnud Klinsmann on sel hooajal öelnud , et ta ei ole rahul Bayerni kaitsetaktikaga ning sellega , kuidas teda kehva mänguperioodi ajal koheldakse .;Tottenhamist
Vähemasti West Endist ( Brodwayl pole ma käinud ) lahutab meid küll umbes sama palju , kui juuraajastust .;Brodwayl
Sotsiaaldemokraadist Taani peaminister Poul Nyrup Rasmusseni aatekaaslased istusid Kjærsgaardi tuhkatriinust kuningannaks tõusmise ajal nördinult oma fraktsiooni punalippudega dekoreeritud toas , ning sama vähe oli lüüasaamise üle rõõmustada Taani opositsioonilistel liberaalidel ja konservatiividel .;tuhkatriinust
Põlva politseiprefekti Elmar Nurmela sõnul käivad Põlva politseinikud põhimaanteedel patrullimas külakorda naaberprefektuuride korravalvuritega .;põhimaanteedel
Kui OBU-galeriisse astub inimene tänavalt , siis tal eelarvamus puudub või on see pigem positiivne .;OBU-galeriisse
Noorsoopolitseinik , kes Andrest toona haiglas vaatamas käis , on öelnud , et poiss ei soovi oma ema karistamist .;Andrest
Viimasega istus tulevane diktaator 1940-ndate algul koos sunnitöövanglas Doftanas , kus harrastati aktiivset homoseksuaalset suguelu .;sunnitöövanglas
Aga ma pole Rotermannis veel käinud .;Rotermannis
Kella poole viie paiku hommikul käis kiirendusrajal tume mürakas ja stardipaiga lähedal telkides tudunud porscheklubilastele hakkas autojuppe pähe sadama .;kiirendusrajal
Aga meil oli üks kambast käinud Soome suurimal igamehe-sõudevõistlusel ja tema tuligi mõttele : läheme kirikupaadiga Tallinna .;igamehe-sõudevõistlusel
Eilsetes vabastiili teatesõitudes liikusid teistest nobedamalt Kristina ?;teatesõitudes
Klubi juhtkond teatas , et Sprewelli karistatakse juhtunu eest rahatrahviga kuni 40 000 dollarit , kuid Knicksi esimesel kontrollmängul Philadelphiaga istus Sprewell varumängijate pingil tänavarõivastes .;tänavarõivastes
“ Kaks aastat tagasi käisime koos Eesti Pihkva konsuli Andres Kolgiga rajoonivalitsuses õigust nõudmas , ” räägib Kallas .;rajoonivalitsuses
Jutt käib niisiis 2007 . aastal alguse saavast ( ainult ) eestikeelsest gümnaasiumiharidusest , millega me aegajalt muukeelseid kaasmaalasi kol- litame .;gümnaasiumiharidusest
Davies on käinud tänavu juba ühel ekspeditsioonil Sumatral , kus ta otsis ürgmetsas legendaarse jeti jälgi .;Sumatral
Jutt käib Euroopa eeskujul alustatud amnestiakampaaniast , mille käigus pääses mitme kuuga trellide tagant hea käitumise eest 472 kurjategijat .;amnestiakampaaniast
